Recipient,URL,data,Core Funding,COVID-19 Funding,Population,Funding per person,Detect index,Point estimate_det_prob,sce_1_det_prob,sce_2_det_prob,sce_3_det_prob,sce_4_det_prob
Alabama,https://www.alabamapublichealth.gov/index.html,state,1895343,1662264,5074296,0.373518415,37.87%,1.72%,1.38%,2.06%,2.75%,3.44%
Alaska,https://dhss.alaska.gov/Pages/default.aspx,state,2216487,1586467,733583,3.021453605,306.35%,13.91%,11.13%,16.70%,22.26%,27.83%
Arizona,https://www.azdhs.gov/,state,2868459,3364500,7359197,0.389778803,39.52%,1.79%,1.44%,2.15%,2.87%,3.59%
Arkansas,https://www.healthy.arkansas.gov/,state,2126337,1441085,3045637,0.698158382,70.79%,3.22%,2.57%,3.86%,5.14%,6.43%
California,https://www.cdph.ca.gov/,state,10362274,11686731,39029342,0.265499582,26.92%,1.22%,0.98%,1.47%,1.96%,2.45%
Colorado,https://cdphe.colorado.gov/,state,5999774,7616943,5839926,1.02737158,104.17%,4.73%,3.78%,5.68%,7.57%,9.46%
Connecticut,https://portal.ct.gov/DPH,state,2559951,1340914,3626205,0.705958709,71.58%,3.25%,2.60%,3.90%,5.20%,6.50%
Delaware,https://www.dhss.delaware.gov/dhss/dph/index.html,state,2603053,3132767,1018396,2.556032231,259.16%,11.77%,9.42%,14.12%,18.83%,23.54%
District Of Columbia,https://dchealth.dc.gov/,city,2136994,1509864,671803,3.180983116,322.53%,14.65%,11.72%,17.58%,23.44%,29.30%
Florida,https://www.floridahealth.gov/,state,4123281,1802993,22244823,0.185359128,18.79%,0.85%,0.68%,1.02%,1.37%,1.71%
Georgia,https://dph.georgia.gov/,state,3521597,2821209,10912876,0.322701092,32.72%,1.49%,1.19%,1.78%,2.38%,2.97%
Hawaii,https://health.hawaii.gov/,state,1943945,1706429,1440196,1.349778086,136.86%,6.22%,4.97%,7.46%,9.95%,12.43%
Idaho,https://healthandwelfare.idaho.gov/,state,1570357,701171,1939033,0.809866052,82.11%,3.73%,2.98%,4.47%,5.97%,7.46%
Illinois,https://dph.illinois.gov/,state,1887316,4751579,12582032,0.15000089,15.21%,0.69%,0.55%,0.83%,1.11%,1.38%
Indiana,https://www.in.gov/health/,state,2804594,961418,6833037,0.41044619,41.62%,1.89%,1.51%,2.27%,3.02%,3.78%
