fips,ProbNextOcc
1001,2.02E-06
1003,2.61E-05
1005,2.02E-06
1007,2.02E-06
1009,2.02E-06
1011,2.02E-06
1013,2.93E-06
1015,2.02E-06
1017,2.02E-06
1019,2.02E-06
1021,2.02E-06
1023,2.02E-06
1025,2.02E-06
1027,2.02E-06
1029,2.02E-06
1031,2.02E-06
1033,2.02E-06
1035,2.02E-06
1037,2.02E-06
1039,2.02E-06
1041,2.02E-06
1043,2.02E-06
1045,2.02E-06
1047,2.93E-06
1049,2.02E-06
1051,2.02E-06
1053,2.98E-06
1055,2.02E-06
1057,2.02E-06
1059,2.02E-06
1061,2.02E-06
1063,2.02E-06
1065,2.93E-06
1067,2.02E-06
1069,2.02E-06
1071,2.02E-06
1073,0.001721225
1075,2.02E-06
1077,2.02E-06
1079,2.02E-06
1081,2.50E-05
1083,2.02E-06
1085,2.02E-06
1087,2.93E-06
1089,0.000335651
1091,2.93E-06
1093,2.02E-06
1095,2.02E-06
1097,0.000105096
1099,2.02E-06
1101,0.000239911
1103,2.02E-06
1105,2.02E-06
1107,2.02E-06
1109,2.02E-06
1111,2.02E-06
1113,2.02E-06
1115,2.02E-06
1117,8.08E-05
1119,2.93E-06
1121,2.02E-06
1123,2.02E-06
1125,2.50E-05
1127,2.02E-06
1129,2.98E-06
1131,2.93E-06
1133,2.02E-06
4001,2.02E-06
4003,2.02E-06
4005,2.40E-05
4007,2.02E-06
4009,2.02E-06
4011,2.02E-06
4012,4.28E-05
4013,0.013485854
4015,3.09E-06
4017,2.02E-06
4019,0.003197773
4021,9.42E-05
4023,2.02E-06
4025,4.62E-05
4027,6.32E-05
5001,2.02E-06
5003,2.02E-06
5005,2.02E-06
5007,4.62E-05
5009,2.02E-06
5011,2.02E-06
5013,2.02E-06
5015,2.02E-06
5017,2.02E-06
5019,2.02E-06
5021,2.02E-06
5023,2.02E-06
5025,2.02E-06
5027,2.02E-06
5029,2.02E-06
5031,2.02E-06
5033,2.02E-06
5035,2.02E-06
5037,2.02E-06
5039,2.02E-06
5041,2.93E-06
5043,2.02E-06
5045,6.16E-06
5047,2.02E-06
5049,2.02E-06
5051,2.02E-06
5053,2.02E-06
5055,2.02E-06
5057,2.93E-06
5059,2.02E-06
5061,2.02E-06
5063,2.02E-06
5065,2.02E-06
5067,1.50E-05
5069,2.02E-06
5071,2.02E-06
5073,2.02E-06
5075,2.02E-06
5077,1.50E-05
5079,1.50E-05
5081,2.02E-06
5083,2.02E-06
5085,2.02E-06
5087,2.02E-06
5089,2.02E-06
5091,2.02E-06
5093,2.02E-06
5095,2.93E-06
5097,2.02E-06
5099,2.02E-06
5101,2.02E-06
5103,2.02E-06
5105,2.02E-06
5107,4.37E-06
5109,2.02E-06
5111,2.02E-06
5113,2.02E-06
5115,2.02E-06
5117,2.02E-06
5119,0.000372982
5121,2.02E-06
5123,2.02E-06
5125,2.02E-06
5127,2.02E-06
5129,2.02E-06
5131,2.02E-06
5133,2.02E-06
5135,2.02E-06
5137,2.02E-06
5139,2.02E-06
5141,2.02E-06
5143,4.62E-05
5145,2.02E-06
5147,2.02E-06
5149,2.02E-06
6001,0.007017721
